./Problems/eil76.tsp,Mean,Standard Deviation
Interation: 1,2234.9104117598167,4.547473508864641E-13
Interation: 2,2236.63482147312,4.547473508864641E-13
Interation: 3,2171.66933439821,4.547473508864641E-13
Interation: 4,2201.1449057969794,4.547473508864641E-13
Interation: 5,2280.653647426607,4.547473508864641E-13
Interation: 6,2290.323210274157,0.0
Interation: 7,2129.405740156726,0.0
Interation: 8,2249.7078709419693,0.0
Interation: 9,2265.015708420567,0.0
Interation: 10,2293.5963478799154,4.547473508864641E-13
Interation: 11,2246.9159758793976,0.0
Interation: 12,2226.643058494854,0.0
Interation: 13,2180.9900627465313,4.547473508864641E-13
Interation: 14,2284.9637884084073,4.547473508864641E-13
Interation: 15,2296.863407251909,0.0
Interation: 16,2195.0095608180195,0.0
Interation: 17,2170.3305511231806,4.547473508864641E-13
Interation: 18,2212.9555624641475,4.547473508864641E-13
Interation: 19,2238.3282080402823,0.0
Interation: 20,2262.6029288857762,4.547473508864641E-13
Interation: 21,2179.2172055557826,0.0
Interation: 22,2257.0329219670684,4.547473508864641E-13
Interation: 23,2209.8969107974162,4.547473508864641E-13
Interation: 24,2275.720666696469,4.547473508864641E-13
Interation: 25,2289.0906035704543,4.547473508864641E-13
Interation: 26,2227.69480150763,4.547473508864641E-13
Interation: 27,2220.6592325133674,0.0
Interation: 28,2103.106618250712,4.547473508864641E-13
Interation: 29,2245.68826871031,0.0
Interation: 30,2247.098458204677,0.0
