./Problems/kroA100.tsp,Mean,Standard Deviation
Interation: 1,141019.74604973366,2.9103830456733704E-11
Interation: 2,153685.41254461993,2.9103830456733704E-11
Interation: 3,146392.92610915424,0.0
Interation: 4,150038.86977597742,2.9103830456733704E-11
Interation: 5,150298.3877186028,2.9103830456733704E-11
Interation: 6,147480.32863553328,2.9103830456733704E-11
Interation: 7,143518.46432275412,2.9103830456733704E-11
Interation: 8,150823.87210802335,0.0
Interation: 9,146632.59001332938,0.0
Interation: 10,150511.94062956312,2.9103830456733704E-11
Interation: 11,154331.58415358892,2.9103830456733704E-11
Interation: 12,151595.04423045393,0.0
Interation: 13,151790.0512254019,2.9103830456733704E-11
Interation: 14,142091.26026499152,2.9103830456733704E-11
Interation: 15,155860.9305552992,0.0
Interation: 16,150720.80698172495,0.0
Interation: 17,147829.21343585124,0.0
Interation: 18,152957.51748875735,2.9103830456733704E-11
Interation: 19,147129.54051462046,0.0
Interation: 20,149384.80305415526,2.9103830456733704E-11
Interation: 21,148533.1532042324,2.9103830456733704E-11
Interation: 22,147595.07532732168,0.0
Interation: 23,149884.00962662254,0.0
Interation: 24,145968.89509935753,2.9103830456733704E-11
Interation: 25,137747.20129038597,2.9103830456733704E-11
Interation: 26,149985.7559707254,2.9103830456733704E-11
Interation: 27,155321.368782649,2.9103830456733704E-11
Interation: 28,143686.68714701032,0.0
Interation: 29,153318.31015819966,0.0
Interation: 30,145832.1359591154,2.9103830456733704E-11
