./Problems/kroD100.tsp,Mean,Standard Deviation
Interation: 1,135916.07683171844,0.0
Interation: 2,146160.75571044747,2.9103830456733704E-11
Interation: 3,147700.33739453764,0.0
Interation: 4,142408.2141442224,0.0
Interation: 5,144489.8765083291,0.0
Interation: 6,140464.97855831683,0.0
Interation: 7,139319.999172913,2.9103830456733704E-11
Interation: 8,138634.81575239127,2.9103830456733704E-11
Interation: 9,143857.34004014163,2.9103830456733704E-11
Interation: 10,148490.99582393578,2.9103830456733704E-11
Interation: 11,143171.57129791589,0.0
Interation: 12,135461.9705532414,0.0
Interation: 13,137734.7090368658,2.9103830456733704E-11
Interation: 14,143155.8783465307,0.0
Interation: 15,142993.82569125644,0.0
Interation: 16,143656.26940324673,2.9103830456733704E-11
Interation: 17,142457.7402578005,2.9103830456733704E-11
Interation: 18,138095.86984291975,0.0
Interation: 19,148061.2677573136,0.0
Interation: 20,141950.133351421,2.9103830456733704E-11
Interation: 21,142967.6092636436,2.9103830456733704E-11
Interation: 22,146337.82820733727,0.0
Interation: 23,145920.89252181936,0.0
Interation: 24,138853.73384301906,2.9103830456733704E-11
Interation: 25,139987.7008173782,0.0
Interation: 26,138639.41307487796,2.9103830456733704E-11
Interation: 27,135136.6607280357,2.9103830456733704E-11
Interation: 28,137930.06035846815,2.9103830456733704E-11
Interation: 29,144389.13236426451,2.9103830456733704E-11
Interation: 30,143646.92313577066,2.9103830456733704E-11
