./Problems/lin105.tsp,Mean,Standard Deviation
Interation: 1,110636.97327584389,0.0
Interation: 2,105977.00991853778,1.4551915228366852E-11
Interation: 3,102972.09718718949,0.0
Interation: 4,109351.17805406798,2.9103830456733704E-11
Interation: 5,106179.00821802285,0.0
Interation: 6,105742.74829359679,0.0
Interation: 7,108751.74561057743,1.4551915228366852E-11
Interation: 8,102974.19791803932,1.4551915228366852E-11
Interation: 9,102564.4385393539,0.0
Interation: 10,113633.09037496682,1.4551915228366852E-11
Interation: 11,105627.94664680239,0.0
Interation: 12,108946.63557695117,0.0
Interation: 13,111374.4139680634,2.9103830456733704E-11
Interation: 14,107354.17423574228,1.4551915228366852E-11
Interation: 15,104111.01313145053,0.0
Interation: 16,111507.27971054098,0.0
Interation: 17,103398.63734736596,0.0
Interation: 18,110696.60883807551,1.4551915228366852E-11
Interation: 19,109654.67804109756,0.0
Interation: 20,107444.12369585995,0.0
Interation: 21,110724.30959859269,0.0
Interation: 22,107067.56043972529,0.0
Interation: 23,109865.90245213942,0.0
Interation: 24,108353.87050661884,2.9103830456733704E-11
Interation: 25,102411.77714165462,1.4551915228366852E-11
Interation: 26,105310.59221282342,1.4551915228366852E-11
Interation: 27,108726.83569924743,0.0
Interation: 28,112450.76457544169,1.4551915228366852E-11
Interation: 29,109992.13832615098,1.4551915228366852E-11
Interation: 30,111330.44374402551,0.0
