./Problems/st70.tsp,Mean,Standard Deviation
Interation: 1,2978.5840728507687,4.547473508864641E-13
Interation: 2,3274.779362911257,4.547473508864641E-13
Interation: 3,3281.408435483133,0.0
Interation: 4,3142.160834166545,0.0
Interation: 5,3139.656357279288,0.0
Interation: 6,3190.416789689599,4.547473508864641E-13
Interation: 7,3297.1433931925794,9.094947017729282E-13
Interation: 8,3323.796019530163,9.094947017729282E-13
Interation: 9,3228.1085065960874,0.0
Interation: 10,3136.7870049409694,4.547473508864641E-13
Interation: 11,3193.389627399997,4.547473508864641E-13
Interation: 12,3179.2682851657296,0.0
Interation: 13,3132.7017359818374,4.547473508864641E-13
Interation: 14,3374.202861458217,9.094947017729282E-13
Interation: 15,3288.0029540188125,4.547473508864641E-13
Interation: 16,3161.7050943358254,4.547473508864641E-13
Interation: 17,3235.6018767298406,4.547473508864641E-13
Interation: 18,3167.1159687701133,4.547473508864641E-13
Interation: 19,3104.712119283423,4.547473508864641E-13
Interation: 20,3222.9760835448574,0.0
Interation: 21,3161.5257983127663,0.0
Interation: 22,3168.743729413341,0.0
Interation: 23,3149.2891121910843,4.547473508864641E-13
Interation: 24,3164.2503841568932,4.547473508864641E-13
Interation: 25,3278.0465201801208,4.547473508864641E-13
Interation: 26,3221.7162316043496,4.547473508864641E-13
Interation: 27,2968.615775851323,4.547473508864641E-13
Interation: 28,3177.216176156759,4.547473508864641E-13
Interation: 29,3060.4228334484683,0.0
Interation: 30,3213.5131621402165,4.547473508864641E-13
